Skill,Level,Question,Option1,Option2,Option3,Option4,Answer,Reference
Python,Beginner,What is Python?,Programming Language,Snake,OS,Database,Programming Language,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Beginner,Which keyword is used to define a function?,func,def,function,define,def,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Beginner,Which data type is mutable?,Tuple,String,List,Integer,List,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Beginner,How to print in Python?,echo,printf,print,cout,print,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Beginner,Which symbol is used for comments?,//,#,/*,**,#,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python

Python,Intermediate,What is list comprehension?,Loop syntax,Short list creation,Sorting,Function,Short list creation,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Intermediate,What does len() do?,Adds elements,Deletes elements,Returns length,Sorts list,Returns length,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Intermediate,What is a dictionary?,Ordered list,Key-value pair,String,Integer,Key-value pair,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Intermediate,Which is used for exception handling?,try-except,if-else,for-loop,while,try-except,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Intermediate,What does range() return?,List,Object,Iterator,String,Iterator,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python

Python,Advanced,What is a decorator?,Design pattern,Function modifier,Loop,Class,Function modifier,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Advanced,What is GIL?,Thread lock,Memory manager,Compiler,Interpreter,Thread lock,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Advanced,What is lambda?,Anonymous function,Loop,Module,Class,Anonymous function,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Advanced,Which supports async programming?,asyncio,threading,time,random,asyncio,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
Python,Advanced,What is monkey patching?,Runtime change,Debugging,Testing,Inheritance,Runtime change,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python

Machine Learning,Beginner,What is Machine Learning?,Rule based system,AI subset,Database,OS,AI subset,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Beginner,Which is supervised learning?,Clustering,Regression,Association,PCA,Regression,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Beginner,Which library is used for ML?,NumPy,Pandas,Scikit-learn,OS,Scikit-learn,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Beginner,What is dataset?,Input data,Algorithm,Output,Code,Input data,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Beginner,What is label?,Feature,Output,Input,Model,Output,https://www.geeksforgeeks.org/machine-learning/machine-learning/

Machine Learning,Intermediate,What is overfitting?,High accuracy,Low bias,Model memorizes data,Under training,Model memorizes data,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Intermediate,What is train-test split?,Data divide,Model tuning,Prediction,Loss,Data divide,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Intermediate,What is normalization?,Scaling data,Deleting data,Training model,Testing,Scaling data,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Intermediate,Which metric for classification?,MSE,Accuracy,R2,RMSE,Accuracy,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Intermediate,What is confusion matrix?,Table of results,Graph,Algorithm,Loss,Table of results,https://www.geeksforgeeks.org/machine-learning/machine-learning/

Machine Learning,Advanced,What is gradient descent?,Optimization algorithm,Loss function,Metric,Dataset,Optimization algorithm,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Advanced,What is bias-variance tradeoff?,Model balance,Data split,Feature selection,Loss,Model balance,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Advanced,Which is ensemble method?,Linear regression,KNN,Random Forest,Naive Bayes,Random Forest,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Advanced,What is backpropagation?,Error propagation,Forward pass,Activation,Prediction,Error propagation,https://www.geeksforgeeks.org/machine-learning/machine-learning/
Machine Learning,Advanced,What is regularization?,Reduce overfitting,Increase data,Train fast,Test model,Reduce overfitting,https://www.geeksforgeeks.org/machine-learning/machine-learning/

Java,Beginner,What is Java?,Programming Language,OS,Database,Browser,Programming Language,https://www.w3schools.com/java/
Java,Beginner,Which company developed Java?,Microsoft,Sun Microsystems,Google,Apple,Sun Microsystems,https://www.w3schools.com/java/
